,vw,o,c,h,l,n,prev_close,daily_return,abs_daily_return,pct_change,direction,Recovery,outlier_id,day type,day,Date
473,1.0167,1.01837,1.01327,1.02084,1.01314,202683.0,1.01837,-0.005008002985162666,0.005008002985162666,0.5008002985162685,Down,fast recovery,51,prior day,Friday,2015-01-09
474,1.0153,1.01176,1.01488,1.01887,1.01168,170026.0,1.01175,0.0030936496170003236,0.0030936496170003236,0.3093649617000427,Up,fast recovery,51,prior day,Monday,2015-01-12
475,1.0178,1.01487,1.0196,1.02167,1.01251,212102.0,1.01488,0.004650796153239848,0.004650796153239848,0.46507961532398223,Up,fast recovery,51,outlier day,Tuesday,2015-01-13
476,1.019,1.0196,1.01897,1.02391,1.01368,247785.0,1.0196,-0.0006178893683798847,0.0006178893683798847,0.061788936837992026,Down,fast recovery,51,post day,Wednesday,2015-01-14
477,0.9211,1.01897,0.8535,1.02195,0.82991,223270.0,1.01897,-0.1623894717214441,0.1623894717214441,16.238947172144414,Down,fast recovery,51,post day,Thursday,2015-01-15
478,0.8642,0.8535,0.85793,0.8808,0.84483,197305.0,0.8535,0.0051903925014644805,0.0051903925014644805,0.5190392501464469,Up,fast recovery,51,post day,Friday,2015-01-16
479,1.0153,1.01176,1.01488,1.01887,1.01168,170026.0,1.01175,0.0030936496170003236,0.0030936496170003236,0.3093649617000427,Up,fast recovery,52,prior day,Monday,2015-01-12
480,1.0178,1.01487,1.0196,1.02167,1.01251,212102.0,1.01488,0.004650796153239848,0.004650796153239848,0.46507961532398223,Up,fast recovery,52,prior day,Tuesday,2015-01-13
481,1.019,1.0196,1.01897,1.02391,1.01368,247785.0,1.0196,-0.0006178893683798847,0.0006178893683798847,0.061788936837992026,Down,fast recovery,52,outlier day,Wednesday,2015-01-14
482,0.9211,1.01897,0.8535,1.02195,0.82991,223270.0,1.01897,-0.1623894717214441,0.1623894717214441,16.238947172144414,Down,fast recovery,52,post day,Thursday,2015-01-15
483,0.8642,0.8535,0.85793,0.8808,0.84483,197305.0,0.8535,0.0051903925014644805,0.0051903925014644805,0.5190392501464469,Up,fast recovery,52,post day,Friday,2015-01-16
484,0.8687,0.8579,0.87956,0.87974,0.853,117668.0,0.8579,0.02524769786688427,0.02524769786688427,2.52476978668843,Up,fast recovery,52,post day,Monday,2015-01-19
485,0.8753,0.87956,0.8739,0.88355,0.86823,97007.0,0.87956,-0.006435035699668014,0.006435035699668014,0.6435035699667968,Down,fast recovery,52,post day,Tuesday,2015-01-20
486,0.863,0.8739,0.86008,0.87693,0.84974,131446.0,0.8739,-0.01581416638059281,0.01581416638059281,1.5814166380592853,Down,fast recovery,52,post day,Wednesday,2015-01-21
487,0.8641,0.86009,0.87124,0.8748,0.85155,136132.0,0.86008,0.012975537159334085,0.012975537159334085,1.2975537159334083,Up,fast recovery,52,post day,Thursday,2015-01-22
488,1.0073,1.00791,1.00955,1.01032,1.00435,176449.0,1.0079,0.0016370671693619696,0.0016370671693619696,0.1637067169361961,Up,slow recovery,53,prior day,Monday,2015-11-16
489,1.0133,1.00954,1.01433,1.0171,1.00924,185310.0,1.00955,0.004734782824030516,0.004734782824030516,0.47347828240305034,Up,slow recovery,53,prior day,Tuesday,2015-11-17
