,v,vw,o,c,h,l,n,date,prev_close,daily_return,abs_daily_return,source,outlier
160,51232,0.9068,0.90747,0.9055,0.90833,0.9051,51232,2023-12-26,0.90747,-0.0021708706623910735,0.0021708706623910735,historical,0
161,77389,0.9029,0.90557,0.90018,0.9067,0.898796,77389,2023-12-27,0.9055,-0.005875207067918268,0.005875207067918268,historical,0
162,83788,0.9008,0.90018,0.90348,0.90453,0.8975,83788,2023-12-28,0.90018,0.003665933479970639,0.003665933479970639,historical,0
163,78410,0.904,0.90346,0.9058,0.90625,0.902,78410,2023-12-29,0.90348,0.0025678487625626465,0.0025678487625626465,historical,0
164,1,0.9045,0.9045,0.9045,0.9045,0.9045,1,2023-12-31,0.9058,-0.0014351954073747834,0.0014351954073747834,historical,0
165,3462,0.9055,0.9058,0.90604,0.90611,0.9024,3462,2024-01-01,0.9045,0.0017025981205085526,0.0017025981205085526,historical,0
166,88179,0.9105,0.90604,0.91388,0.91419,0.9053,88179,2024-01-02,0.90604,0.008653039600900699,0.008653039600900699,historical,1
167,95166,0.915,0.91389,0.91521,0.91796,0.9118,95166,2024-01-03,0.91388,0.001455333304153655,0.001455333304153655,historical,0
168,90130,0.9136,0.91523,0.9134,0.91605,0.911162,90130,2024-01-04,0.91521,-0.0019776881808546438,0.0019776881808546438,historical,0
169,97098,0.9141,0.9135,0.9139,0.91935,0.909091,97098,2024-01-05,0.9134,0.0005474052988833544,0.0005474052988833544,historical,0
170,1511,0.9139,0.91267,0.91389,0.91447,0.91267,1511,2024-01-07,0.9139,-1.0942116205345784e-05,1.0942116205345784e-05,historical,0
171,86505,0.9132,0.91392,0.9132,0.91547,0.910581,86505,2024-01-08,0.91389,-0.0007550142796178625,0.0007550142796178625,historical,0
172,88876,0.914,0.91323,0.91471,0.91652,0.9117,88876,2024-01-09,0.9132,0.0016535260621988734,0.0016535260621988734,historical,0
173,78774,0.9134,0.91472,0.91119,0.91551,0.9109,78774,2024-01-10,0.91471,-0.0038482141881032977,0.0038482141881032977,historical,0
174,71134,0.9117,0.91117,0.9105,0.91485,0.9097,71134,2024-01-11,0.91119,-0.0007572515062721051,0.0007572515062721051,historical,0
175,82059,0.912,0.9105,0.9131,0.9144,0.91,82059,2024-01-12,0.9105,0.0028555738605162513,0.0028555738605162513,historical,0
176,1539,0.9134,0.91248,0.9136,0.91368,0.91248,1539,2024-01-14,0.9131,0.0005475851494906855,0.0005475851494906855,historical,0
177,63685,0.9131,0.9136,0.9136,0.9146,0.9116,63685,2024-01-15,0.9136,0.0,0.0,historical,0
178,96341,0.9181,0.91361,0.91922,0.92058,0.9133,96341,2024-01-16,0.9136,0.006151488616462423,0.006151488616462423,historical,0
179,91197,0.9201,0.919,0.91856,0.9221,0.9184,91197,2024-01-17,0.91922,-0.0007180000435151475,0.0007180000435151475,historical,0
180,91593,0.9194,0.91857,0.91908,0.92189,0.9167,91593,2024-01-18,0.91856,0.0005661034662950323,0.0005661034662950323,historical,0
181,78295,0.9188,0.91906,0.9176,0.92031,0.9173,78295,2024-01-19,0.91908,-0.0016103059581320852,0.0016103059581320852,historical,0
182,2095,0.9179,0.918,0.91805,0.91819,0.91739,2095,2024-01-21,0.9176,0.00049040976460338,0.00049040976460338,historical,0
